CMDLINE /home/ubuntu/anaconda3/envs/sansa/bin/python experiments/memory/amazonbook/run_experiment_mrf_0.py
MEM 0.003906 1683547157.0215
MEM 26.246094 1683547157.1216
MEM 40.085938 1683547157.2218
MEM 90.187500 1683547157.3219
MEM 108.574219 1683547157.4221
MEM 128.640625 1683547157.5223
MEM 145.953125 1683547157.6224
MEM 188.761719 1683547157.7227
MEM 204.183594 1683547157.8229
MEM 240.558594 1683547157.9231
MEM 280.117188 1683547158.0233
MEM 357.433594 1683547158.1234
MEM 558.785156 1683547158.2236
MEM 560.519531 1683547158.3238
MEM 577.984375 1683547158.4242
MEM 1695.402344 1683547158.5246
MEM 2957.136719 1683547158.6250
MEM 3896.863281 1683547158.7254
MEM 4479.867188 1683547158.8257
MEM 4799.867188 1683547158.9259
MEM 5119.867188 1683547159.0261
MEM 5439.867188 1683547159.1262
MEM 5759.867188 1683547159.2264
MEM 6079.867188 1683547159.3266
MEM 6397.867188 1683547159.4267
MEM 6717.867188 1683547159.5269
MEM 7034.265625 1683547159.6271
MEM 7352.265625 1683547159.7272
MEM 7672.265625 1683547159.8274
MEM 7990.265625 1683547159.9275
MEM 6613.953125 1683547160.0278
MEM 4418.933594 1683547160.1280
MEM 4617.964844 1683547160.2281
MEM 4818.542969 1683547160.3283
MEM 5019.894531 1683547160.4285
MEM 5221.632812 1683547160.5286
MEM 5422.468750 1683547160.6288
MEM 5622.660156 1683547160.7289
MEM 5818.339844 1683547160.8291
MEM 6011.699219 1683547160.9292
MEM 6204.929688 1683547161.0294
MEM 6398.160156 1683547161.1295
MEM 6591.906250 1683547161.2297
MEM 6786.167969 1683547161.3298
MEM 6979.914062 1683547161.4300
MEM 7173.531250 1683547161.5302
MEM 7368.566406 1683547161.6304
MEM 7562.441406 1683547161.7305
MEM 7757.347656 1683547161.8307
MEM 7950.062500 1683547161.9308
MEM 8144.839844 1683547162.0310
MEM 8339.746094 1683547162.1312
MEM 8535.039062 1683547162.2314
MEM 8728.011719 1683547162.3315
MEM 8922.402344 1683547162.4317
MEM 9116.921875 1683547162.5318
MEM 9311.828125 1683547162.6320
MEM 9503.511719 1683547162.7321
MEM 9698.031250 1683547162.8323
MEM 9892.164062 1683547162.9324
MEM 10087.070312 1683547163.0327
MEM 10281.847656 1683547163.1329
MEM 10477.914062 1683547163.2330
MEM 10673.335938 1683547163.3332
MEM 10868.371094 1683547163.4334
MEM 11062.117188 1683547163.5335
MEM 11255.089844 1683547163.6337
MEM 11446.000000 1683547163.7338
MEM 11637.039062 1683547163.8340
MEM 11827.949219 1683547163.9341
MEM 12018.859375 1683547164.0343
MEM 12210.027344 1683547164.1344
MEM 12401.324219 1683547164.2346
MEM 12593.007812 1683547164.3347
MEM 12784.433594 1683547164.4349
MEM 12976.117188 1683547164.5351
MEM 13167.542969 1683547164.6353
MEM 13359.097656 1683547164.7355
MEM 13550.523438 1683547164.8356
MEM 13742.078125 1683547164.9358
MEM 13933.632812 1683547165.0359
MEM 14125.058594 1683547165.1361
MEM 14316.484375 1683547165.2362
MEM 14508.296875 1683547165.3364
MEM 14699.980469 1683547165.4365
MEM 14891.792969 1683547165.5367
MEM 15083.476562 1683547165.6368
MEM 15275.031250 1683547165.7370
MEM 15466.714844 1683547165.8371
MEM 15658.398438 1683547165.9373
MEM 15849.953125 1683547166.0375
MEM 16041.636719 1683547166.1377
MEM 16235.898438 1683547166.2378
MEM 16431.835938 1683547166.3380
MEM 16626.871094 1683547166.4382
MEM 16823.324219 1683547166.5383
