CMDLINE /home/ubuntu/anaconda3/envs/sansa/bin/python experiments/memory/amazonbook/run_experiment_mrf_0_5.py
MEM 0.003906 1683547434.0660
MEM 26.222656 1683547434.1662
MEM 40.105469 1683547434.2664
MEM 90.304688 1683547434.3665
MEM 108.449219 1683547434.4667
MEM 128.335938 1683547434.5668
MEM 145.531250 1683547434.6670
MEM 190.492188 1683547434.7672
MEM 203.234375 1683547434.8674
MEM 240.066406 1683547434.9676
MEM 285.410156 1683547435.0678
MEM 356.742188 1683547435.1680
MEM 541.449219 1683547435.2681
MEM 560.207031 1683547435.3683
MEM 577.660156 1683547435.4686
MEM 1656.867188 1683547435.5690
MEM 2938.195312 1683547435.6694
MEM 3888.492188 1683547435.7698
MEM 4475.058594 1683547435.8701
MEM 4795.070312 1683547435.9703
MEM 5115.070312 1683547436.0705
MEM 5435.070312 1683547436.1706
MEM 5755.070312 1683547436.2708
MEM 6075.070312 1683547436.3709
MEM 6395.070312 1683547436.4711
MEM 6715.070312 1683547436.5712
MEM 7031.468750 1683547436.6714
MEM 7349.468750 1683547436.7716
MEM 7669.468750 1683547436.8717
MEM 7987.468750 1683547436.9719
MEM 6726.984375 1683547437.0721
MEM 4413.160156 1683547437.1722
MEM 4611.804688 1683547437.2724
MEM 4811.867188 1683547437.3726
MEM 5013.089844 1683547437.4727
MEM 5214.441406 1683547437.5729
MEM 5415.148438 1683547437.6730
MEM 5614.953125 1683547437.7732
MEM 5815.015625 1683547437.8733
MEM 6014.949219 1683547437.9735
MEM 6214.753906 1683547438.0736
MEM 6414.687500 1683547438.1738
MEM 6614.105469 1683547438.2739
MEM 6814.167969 1683547438.3741
MEM 7012.941406 1683547438.4743
MEM 7209.523438 1683547438.5744
MEM 7409.328125 1683547438.6747
MEM 7609.519531 1683547438.7749
MEM 7811.000000 1683547438.8750
MEM 8010.675781 1683547438.9752
MEM 8212.027344 1683547439.0753
MEM 8413.121094 1683547439.1755
MEM 8614.085938 1683547439.2757
MEM 8814.277344 1683547439.3758
MEM 9015.371094 1683547439.4760
MEM 9216.851562 1683547439.5761
MEM 9416.269531 1683547439.6763
MEM 9615.558594 1683547439.7764
MEM 9817.167969 1683547439.8766
MEM 10017.617188 1683547439.9768
MEM 10215.101562 1683547440.0770
MEM 10417.484375 1683547440.1771
MEM 10619.351562 1683547440.2773
MEM 10821.218750 1683547440.3774
MEM 11021.667969 1683547440.4776
MEM 11221.214844 1683547440.5777
MEM 11418.957031 1683547440.6779
MEM 11616.570312 1683547440.7780
MEM 11814.183594 1683547440.8782
MEM 12011.667969 1683547440.9783
