CMDLINE /home/ubuntu/anaconda3/envs/sansa/bin/python experiments/memory/amazonbook/run_experiment_sansa.py
MEM 0.003906 1683546018.3192
MEM 26.335938 1683546018.4194
MEM 39.855469 1683546018.5197
MEM 91.261719 1683546018.6199
MEM 108.820312 1683546018.7202
MEM 129.859375 1683546018.8205
MEM 145.414062 1683546018.9208
MEM 194.703125 1683546019.0211
MEM 232.144531 1683546019.1214
MEM 242.726562 1683546019.2217
MEM 331.722656 1683546019.3220
MEM 429.382812 1683546019.4223
MEM 555.964844 1683546019.5227
MEM 567.457031 1683546019.6230
MEM 581.378906 1683546019.7233
MEM 582.410156 1683546019.8236
MEM 582.925781 1683546019.9239
MEM 582.925781 1683546020.0242
MEM 582.925781 1683546020.1244
MEM 582.925781 1683546020.2248
MEM 582.925781 1683546020.3251
MEM 582.925781 1683546020.4255
MEM 582.925781 1683546020.5258
MEM 582.925781 1683546020.6261
MEM 582.925781 1683546020.7264
MEM 582.925781 1683546020.8266
MEM 582.925781 1683546020.9269
MEM 582.925781 1683546021.0272
MEM 582.925781 1683546021.1274
MEM 582.925781 1683546021.2277
MEM 582.925781 1683546021.3280
MEM 582.925781 1683546021.4283
MEM 582.925781 1683546021.5286
MEM 582.925781 1683546021.6290
MEM 582.925781 1683546021.7293
MEM 582.925781 1683546021.8295
MEM 582.925781 1683546021.9298
MEM 582.925781 1683546022.0301
MEM 582.925781 1683546022.1304
MEM 582.925781 1683546022.2307
MEM 582.925781 1683546022.3311
MEM 582.925781 1683546022.4313
MEM 582.925781 1683546022.5316
MEM 582.925781 1683546022.6319
MEM 582.925781 1683546022.7322
MEM 582.925781 1683546022.8324
MEM 582.925781 1683546022.9326
MEM 582.925781 1683546023.0329
MEM 582.925781 1683546023.1332
MEM 582.925781 1683546023.2334
MEM 582.925781 1683546023.3337
MEM 582.925781 1683546023.4355
MEM 582.925781 1683546023.5357
MEM 582.925781 1683546023.6360
MEM 582.925781 1683546023.7362
MEM 582.925781 1683546023.8365
MEM 582.925781 1683546023.9367
MEM 582.925781 1683546024.0369
MEM 582.925781 1683546024.1372
MEM 582.925781 1683546024.2374
MEM 582.925781 1683546024.3376
MEM 582.925781 1683546024.4379
MEM 582.925781 1683546024.5381
MEM 582.925781 1683546024.6384
MEM 582.925781 1683546024.7386
MEM 582.925781 1683546024.8389
MEM 582.925781 1683546024.9391
MEM 582.925781 1683546025.0394
MEM 582.925781 1683546025.1396
MEM 582.925781 1683546025.2399
MEM 582.925781 1683546025.3402
MEM 582.925781 1683546025.4404
MEM 582.925781 1683546025.5407
MEM 582.925781 1683546025.6409
MEM 582.925781 1683546025.7412
MEM 582.925781 1683546025.8414
MEM 582.925781 1683546025.9416
MEM 582.925781 1683546026.0419
MEM 582.925781 1683546026.1421
MEM 582.925781 1683546026.2424
MEM 582.925781 1683546026.3426
MEM 582.925781 1683546026.4428
MEM 582.925781 1683546026.5431
MEM 582.925781 1683546026.6434
MEM 582.925781 1683546026.7437
MEM 582.925781 1683546026.8440
MEM 582.925781 1683546026.9442
MEM 582.925781 1683546027.0445
MEM 582.925781 1683546027.1447
MEM 582.925781 1683546027.2450
MEM 582.925781 1683546027.3453
MEM 582.925781 1683546027.4456
MEM 582.925781 1683546027.5459
MEM 568.636719 1683546027.6463
MEM 577.667969 1683546027.7467
MEM 605.312500 1683546027.8470
MEM 605.312500 1683546027.9473
MEM 605.312500 1683546028.0476
MEM 605.312500 1683546028.1478
MEM 745.902344 1683546028.2482
MEM 910.386719 1683546028.3485
MEM 1046.253906 1683546028.4488
MEM 1166.652344 1683546028.5504
MEM 1286.535156 1683546028.6507
MEM 1409.253906 1683546028.7511
MEM 1515.730469 1683546028.8514
MEM 1639.738281 1683546028.9517
MEM 1774.316406 1683546029.0521
MEM 1907.863281 1683546029.1524
MEM 2040.636719 1683546029.2527
MEM 2167.996094 1683546029.3531
MEM 2305.152344 1683546029.4534
MEM 2441.792969 1683546029.5538
MEM 2576.628906 1683546029.6541
MEM 2715.589844 1683546029.7545
MEM 2854.808594 1683546029.8548
MEM 3000.214844 1683546029.9551
MEM 3151.808594 1683546030.0555
MEM 3313.972656 1683546030.1558
MEM 3468.660156 1683546030.2562
